RTA,Somme,Nombre de donateurs,Moyenne
J2M,6845.0,81,84.50617283950618
J2N,4520.0,49,92.24489795918367
J2R,9850.0,143,68.88111888111888
J2S,49720.26,685,72.58432116788322
J2T,12192.0,192,63.5
J2W,16105.0,217,74.21658986175115
J2X,9968.21,128,77.876640625
J2Y,3215.0,40,80.375
J3A,9275.0,117,79.27350427350427
J3B,25565.0,309,82.73462783171522
J3E,28445.0,334,85.16467065868264
J3G,43380.0,553,78.44484629294756
J3H,39645.0,459,86.37254901960785
J3L,48951.26,583,83.96442538593482
J3M,4085.0,45,90.77777777777777
J3N,12855.0,156,82.40384615384616
J3P,19478.55,248,78.54254032258065
J3R,12555.0,170,73.8529411764706
J3T,13645.0,184,74.15760869565217
J3V,36816.2,390,94.40051282051282
J3X,19069.99,254,75.07870078740159
J3Y,39275.0,499,78.70741482965931
J3Z,3550.0,38,93.42105263157895
J4B,54394.99,603,90.20728026533996
J4G,11225.0,114,98.46491228070175
J4H,54416.0,538,101.14498141263941
J4J,27660.0,357,77.47899159663865
J4K,19685.0,226,87.10176991150442
J4L,21650.0,278,77.87769784172662
J4M,14165.0,159,89.0880503144654
J4N,32145.0,350,91.84285714285714
J4P,21920.0,233,94.07725321888412
J4R,11210.0,112,100.08928571428571
J4S,6445.0,80,80.5625
J4T,4450.0,63,70.63492063492063
J4V,7190.0,75,95.86666666666666
J4W,4625.0,57,81.14035087719299
J4X,12165.0,153,79.50980392156863
J4Y,14185.0,160,88.65625
J4Z,10905.0,123,88.65853658536585
J5A,9630.0,114,84.47368421052632
J5B,2870.0,33,86.96969696969697
J5C,5600.0,69,81.15942028985508
J5J,4855.0,76,63.88157894736842
J5K,4030.0,53,76.0377358490566
J5L,13930.0,182,76.53846153846153
J5M,10370.0,114,90.96491228070175
J5N,8815.0,127,69.40944881889764
J5R,33857.0,389,87.03598971722366
J5T,9835.0,124,79.31451612903226
J5V,2450.0,30,81.66666666666667
J5W,23050.0,263,87.6425855513308
J5X,1130.0,24,47.083333333333336
J5Y,21560.0,255,84.54901960784314
J5Z,11205.0,149,75.20134228187919
J6A,45647.5,553,82.54520795660036
J6E,103822.0,1371,75.72720641867251
J6J,10455.0,125,83.64
J6K,7035.0,87,80.86206896551724
J6N,10246.61,139,73.71661870503597
J6R,6440.0,68,94.70588235294117
J6S,17927.0,228,78.62719298245614
J6T,12712.0,168,75.66666666666667
J6V,7000.0,87,80.45977011494253
J6W,23285.0,295,78.9322033898305
J6X,19965.0,236,84.59745762711864
J6Y,6235.0,75,83.13333333333334
J6Z,8648.0,122,70.88524590163935
J7A,13156.4,152,86.55526315789473
J7B,4995.0,54,92.5
J7C,22193.0,284,78.1443661971831
J7E,31575.0,390,80.96153846153847
J7G,10054.93,109,92.24706422018349
J7H,2998.99,42,71.40452380952381
J7J,9695.0,135,71.81481481481481
J7K,27575.0,330,83.56060606060606
J7L,7020.0,85,82.58823529411765
J7M,8380.0,133,63.00751879699248
J7N,8987.0,132,68.08333333333333
J7P,19915.0,233,85.47210300429184
J7R,21447.0,285,75.25263157894737
J7T,7080.0,105,67.42857142857143
J7V,21445.0,266,80.6203007518797
J7W,4605.0,64,71.953125
J7X,3185.0,44,72.38636363636364
J7Y,24580.0,339,72.50737463126843
J7Z,19612.0,275,71.31636363636363
J8A,7595.0,85,89.3529411764706
J8B,16490.0,181,91.10497237569061
J8C,9770.0,107,91.30841121495327
J8E,9010.0,119,75.71428571428571
J8G,2485.0,26,95.57692307692308
J8H,6785.0,86,78.8953488372093
J8L,3680.0,40,92.0
J8M,1680.0,22,76.36363636363636
J8N,2485.0,41,60.609756097560975
