RTA,Year,Somme,Nombre de donateurs
G4V,2021,80.0,2
G4V,2022,900.0,7
G4V,2023,240.0,4
G4V,2024,705.0,9
G4V,2025,375.0,4
G4V,2026,125.0,2
G4W,2019,2590.0,35
G4W,2020,4225.0,60
G4W,2021,4460.0,59
G4W,2022,8397.0,85
G4W,2023,5070.0,70
G4W,2024,5470.0,79
G4W,2025,3755.0,56
G4W,2026,2345.0,22
G4X,2019,1865.0,27
G4X,2020,2375.0,26
G4X,2021,1340.0,21
G4X,2022,7021.66,65
G4X,2023,3012.18,43
G4X,2024,3451.66,50
G4X,2025,4810.0,63
G4X,2026,1440.0,15
G4Z,2019,1725.0,25
G4Z,2020,1330.0,19
G4Z,2021,1140.0,14
G4Z,2022,2575.0,19
G4Z,2023,1200.0,15
G4Z,2024,1145.0,15
G4Z,2025,945.0,13
G4Z,2026,515.0,4
G5A,2019,955.0,17
G5A,2020,1005.0,20
G5A,2021,675.0,9
G5A,2022,3080.0,30
G5A,2023,1710.0,30
G5A,2024,1480.0,32
G5A,2025,2075.0,30
G5A,2026,1025.0,15
G5B,2019,735.0,12
G5B,2020,540.0,10
G5B,2021,435.0,6
G5B,2022,1000.0,10
G5B,2023,655.0,9
G5B,2024,745.0,10
G5B,2025,520.0,7
G5B,2026,500.0,5
G5C,2019,2167.0,31
G5C,2020,1672.0,28
G5C,2021,1176.0,18
G5C,2022,2900.0,25
G5C,2023,1280.0,18
G5C,2024,1605.0,20
G5C,2025,1355.0,19
G5C,2026,665.0,8
G5H,2019,1050.0,17
G5H,2020,1100.0,16
G5H,2021,860.0,12
G5H,2022,2215.0,19
G5H,2023,1440.0,20
G5H,2024,1180.0,15
G5H,2025,1180.0,17
G5H,2026,660.0,6
G5J,2019,445.0,7
G5J,2020,1050.0,12
G5J,2021,995.0,15
G5J,2022,2655.0,21
G5J,2023,1850.0,24
G5J,2024,1875.0,26
G5J,2025,1345.0,19
G5J,2026,1080.0,11
G5L,2019,5625.0,85
G5L,2020,5620.0,92
G5L,2021,3520.0,47
G5L,2022,12502.0,116
G5L,2023,6765.0,93
G5L,2024,9010.0,126
G5L,2025,8335.0,118
G5L,2026,5045.0,54
G5M,2019,1325.06,23
G5M,2020,820.0,14
G5M,2021,890.0,15
G5M,2022,2715.09,28
G5M,2023,1760.0,28
G5M,2024,1755.0,30
G5M,2025,2180.0,31
G5M,2026,1100.0,13
G5N,2019,670.0,11
G5N,2020,1105.0,17
G5N,2021,560.0,8
G5N,2022,2770.0,25
G5N,2023,680.0,12
G5N,2024,1620.0,23
G5N,2025,1055.0,17
G5N,2026,620.0,6
G5R,2019,1150.0,22
G5R,2020,1385.0,26
G5R,2021,1230.0,15
G5R,2022,3400.0,31
G5R,2023,1570.0,28
G5R,2024,3180.0,52
G5R,2025,2340.0,29
G5R,2026,1185.0,12
G5T,2019,250.0,3
G5T,2020,500.0,1
G5T,2021,150.0,3
G5T,2022,580.0,4
G5T,2023,275.0,4
G5T,2024,390.0,5
G5T,2025,535.0,6
G5T,2026,140.0,2
G5V,2019,1085.0,18
G5V,2020,1235.0,19
G5V,2021,1120.0,14
G5V,2022,3400.0,30
G5V,2023,1585.0,23
G5V,2024,1315.0,16
G5V,2025,1430.0,19
G5V,2026,650.0,5
G5X,2019,100.0,1
G5X,2020,50.0,1
G5X,2021,100.0,1
G5X,2022,460.0,4
G5X,2023,230.0,4
G5X,2024,145.0,4
G5X,2025,145.0,3
G5X,2026,75.0,3
G5Y,2019,790.0,11
G5Y,2020,630.0,11
G5Y,2021,1075.0,15
G5Y,2022,2335.0,20
G5Y,2023,1330.0,18
G5Y,2024,1430.0,22
G5Y,2025,1300.0,20
G5Y,2026,1030.0,8
G5Z,2019,100.0,1
G5Z,2020,150.0,2
G5Z,2021,100.0,1
G5Z,2022,300.0,2
G5Z,2023,200.0,2
G5Z,2024,125.0,2
G5Z,2025,100.0,1
G5Z,2026,120.0,2
G6B,2019,1290.0,18
G6B,2020,2625.0,40
G6B,2021,1305.0,19
G6B,2022,3055.0,25
G6B,2023,1550.0,21
G6B,2024,1200.0,14
G6B,2025,1110.0,14
G6B,2026,520.0,4
G6C,2019,100.0,1
G6C,2022,295.0,4
G6C,2023,180.0,4
G6C,2024,100.0,1
G6C,2025,176.99,3
G6C,2026,333.32,2
G6E,2019,100.0,1
G6E,2020,5.0,1
G6E,2022,520.0,4
G6E,2023,100.0,1
G6E,2024,100.0,1
G6E,2025,200.0,2
G6E,2026,410.0,3
G6G,2019,415.0,7
G6G,2020,645.0,9
G6G,2021,480.0,6
G6G,2022,1655.0,23
G6G,2023,955.0,14
G6G,2024,1125.0,17
G6G,2025,670.0,15
G6G,2026,570.0,6
G6H,2019,250.0,9
G6H,2020,60.0,3
G6H,2021,210.0,5
G6H,2022,515.0,10
G6H,2023,425.0,9
G6H,2024,765.0,12
G6H,2025,545.0,10
G6H,2026,680.0,8
G6J,2019,760.0,11
G6J,2020,1380.0,12
G6J,2021,590.0,7
G6J,2022,1250.0,10
G6J,2023,560.0,7
G6J,2024,1405.0,16
G6J,2025,1210.0,14
G6J,2026,1325.0,9
G6K,2019,820.0,13
G6K,2020,1860.0,15
G6K,2021,850.0,10
G6K,2022,1720.0,17
G6K,2023,880.0,10
G6K,2024,1635.0,19
